0,0.64,0.539,0.60254
1,0.6539,0.5509,0.61137
2,0.6426,0.5269,0.60773
3,0.6423,0.5803,0.61041
4,0.6183,0.5709,0.59772
5,0.6427,0.5237,0.59359
6,0.6362,0.554,0.61048
7,0.6353,0.5706,0.5936
8,0.6209,0.5231,0.58316
9,0.6414,0.5388,0.58653
10,0.6249,0.5267,0.5753
11,0.6444,0.5547,0.58957
12,0.6539,0.5243,0.56602
13,0.6341,0.4987,0.5853
14,0.6368,0.5173,0.58105
15,0.611,0.5243,0.56991
16,0.65,0.5638,0.59873
17,0.6317,0.5141,0.59257
18,0.6178,0.5266,0.57525
19,0.6306,0.5562,0.59742
20,0.6211,0.5277,0.57891
21,0.6336,0.5777,0.60408
22,0.628,0.507,0.58762
23,0.6404,0.5158,0.59609
24,0.6465,0.5668,0.60096
25,0.6163,0.5059,0.57786
26,0.6385,0.537,0.57573
27,0.626,0.5337,0.58744
28,0.6344,0.5361,0.58231
29,0.6336,0.5165,0.59846
30,0.604,0.4967,0.56137
31,0.6401,0.5198,0.59414
32,0.6291,0.5075,0.5867
33,0.612,0.5563,0.59261
34,0.6405,0.5254,0.57654
35,0.6507,0.57,0.60448
36,0.6216,0.5215,0.5867
37,0.6391,0.5471,0.59837
38,0.6431,0.5525,0.61357
39,0.625,0.5216,0.56751
40,0.6561,0.5539,0.58555
41,0.628,0.5469,0.59338
42,0.6095,0.5076,0.572
43,0.6429,0.508,0.57919
44,0.6387,0.5369,0.60478
45,0.6222,0.52,0.56853
46,0.6258,0.5518,0.59508
47,0.6392,0.5249,0.58004
48,0.6067,0.5319,0.57496
49,0.6294,0.5382,0.58438
50,0.6159,0.5341,0.58612
51,0.6384,0.5467,0.60732
52,0.6415,0.5321,0.58376
53,0.6243,0.535,0.5823
54,0.6378,0.5407,0.59819
55,0.6317,0.5478,0.59112
56,0.6424,0.5778,0.60247
57,0.6425,0.5368,0.59541
58,0.6289,0.5446,0.58919
59,0.6436,0.5153,0.59906
60,0.6308,0.5676,0.59558
61,0.6239,0.5618,0.59953
62,0.6276,0.5072,0.57743
63,0.6461,0.574,0.61312
64,0.6157,0.5459,0.59415
65,0.6462,0.5603,0.60145
66,0.6448,0.5557,0.59253
67,0.6155,0.5448,0.58574
68,0.6468,0.5614,0.59686
69,0.6438,0.5009,0.58336
70,0.6298,0.5488,0.60583
71,0.6163,0.5202,0.57922
72,0.6384,0.5475,0.60254
73,0.6356,0.5341,0.602
74,0.6449,0.5378,0.59643
75,0.6451,0.5473,0.59714
76,0.6391,0.5453,0.61064
77,0.6363,0.5744,0.60283
78,0.6559,0.5635,0.61723
79,0.6494,0.5656,0.59911
80,0.6414,0.5643,0.60848
81,0.6446,0.557,0.60745
82,0.6597,0.5373,0.60711
83,0.6345,0.5255,0.58073
